dish,contains,may
marinated olives,"mollusc,nuts",
crispy eggplant,,"nuts"
prawn toast,"gluten,crustacean,eggs,fish,lupin,sesame,soya",
fried chicken,"eggs,soya",
pork belly bites,"sulphur",
fried calamari,"eggs,soya","gluten,crustacean"
roast beet,"milk",
potato leek soup,"gluten,lupin,milk","sulphur"
chicken schnitzel,"gluten,lupin,milk,mustard,celery",
chicken parma,"gluten,lupin,milk",
fish and chips,"gluten,eggs,fish,soya,mustard",
beef burger,"gluten,eggs,lupin,milk,soya",
chicken burger,"gluten,eggs,lupin,milk,soya",
market steak,"milk,sulphur,mustard,celery",
barramundi,"fish,soya",
poutine,"milk,sulphur","gluten"
ginger scallion noodle,"gluten,soya,sesame","nuts"
khao soi,"gluten,crustacean,fish","nuts"
sticky date,"gluten,eggs,lupin,milk",
crème caramel,"eggs,milk",
shoestring fries,"eggs,mustard","gluten"
steamed choy sum,"soya",
eggs your way,"gluten,milk,eggs,lupin,sesame",
storehouse breakfast,"gluten,eggs,lupin,milk",
french toast,"gluten,eggs,lupin,milk",
smashed avocado,"gluten,eggs,lupin,milk,sulphur",
cheesy omelette,"gluten,eggs,lupin,milk,sulphur",
toast,"gluten,milk",
yoghurt bowl,"milk","gluten"
chicken nuggets,"gluten",
cheesy pasta,"gluten,milk",
margherita pizza,"gluten,milk,lupin","soya"
vegetable lasagna,"gluten,milk,soya",
red chicken curry,"gluten,crustacean,fish","nuts"
plant based ragu,"gluten,soya",
seafood fettucine,"gluten,crustacean,mollusc,fish,milk",
strawberry sorbet,,
galbi,"sesame,soya",
ayam penyet,"soya",
adobo pork,"soya",
beef noodle soup,"gluten,soya,sulphur",
spring roll,"gluten,soya,sesame",
crispy pork noodle,"gluten,soya","sulphur"
steamed rice,,
vegetable wrap,"gluten",
chicken ceasar,"gluten,eggs,milk",
chicken cup noodle,"gluten",
beef cup noodle,"gluten",
panna cotta,"milk",
